Title,Company,Location,Job_URL,Date_Posted,Employment_Type,Description
AI Engineer,Shamrock AI,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-engineer-at-shamrock-ai-4430805336,2026-06-22T22:22:47.000Z,FULL_TIME,"You will build the AI layer that makes our platform work - agents that reason about enterprise data, pipelines that process it reliably, and evaluation systems that catch failures before they reach production. This is not prompt wrapping or demo engineering. It is production AI at enterprise scale, in compliance-heavy environments, on data that is messy by design.

The Problem You’ll Own

LLMs are powerful. They are also brittle in ways that matter enormously when a model is making decisions about a multi-million dollar purchase order, a patient record, or a financial transaction. Hallucinations, context failures, retrieval mismatches, and inconsistent outputs are not acceptable in our use case.

Your job is to build the systems that make AI reliable in exactly these environments: validation agents that reason about business rules, evaluation pipelines that catch regressions, and observability tooling that tells you when something has gone wrong before the customer does.

What You’ll Do

• Build and deploy LLM-powered agents for enterprise data validation — reading specs, reasoning about business rules, identifying failure modes, and generating structured outputs
• Design and own evaluation frameworks: automated test suites, LLM-as-judge pipelines, regression detection, and benchmarks that track whether our agents are improving
• Build RAG pipelines that work reliably on real enterprise data — messy schemas, inconsistent formats, mixed structured and unstructured content
• Integrate AI systems with enterprise infrastructure (SAP, Snowflake, Databricks, Postgres, REST APIs) with attention to latency, data residency, and compliance
• Design agentic workflows with tool use, multi-step reasoning, and deterministic guardrails
• Build observability tooling: trace agent reasoning, track output reliability, and detect hallucinations or drift in production
• Work directly with FDSEs to understand real deployment failures and translate them into system improvements

The Stack

• Languages: Python (primary), Go, Node.js
• AI/ML: LLMs (Claude, GPT-4, Command R+), RAG, vector databases, embeddings, fine-tuning
• Evaluation: LLM-as-judge, automated eval pipelines, custom benchmarks
• Data: Snowflake, Databricks, Postgres
• Infra: containers, Kubernetes / ECS / Cloud Run
• Tools: LangChain, LlamaIndex, OpenAI / Anthropic APIs, LangSmith

Compensation & Logistics

Salary: INR 30 - 45 Lakhs (mid) / 70 Lakhs - 1 Cr+ (senior) depending on experience

Equity: Early-stage equity grant

• Production builder: you’ve shipped LLM-powered features real users depend on and debugged them when they broke
• LLM practitioner: you understand hallucinations, retrieval failures, context limits, and what it takes to make agents deterministic enough for enterprise use
• Systems thinker: you design for latency, failure modes, retry logic, and observability before features
• Enterprise-aware: data residency, compliance, audit trails, and deterministic guardrails are first-class design constraints for you

Background That Maps Well

• 3+ years in AI/ML or backend engineering with strong AI exposure
• Hands-on production experience with LLM APIs (Anthropic, OpenAI, Cohere)
• Experience designing evaluation frameworks: automated evals, regression tests, or LLM-as-judge pipelines
• Strong Python; experience with LangChain, LlamaIndex, or similar agentic frameworks
• Familiarity with RAG architectures: chunking, embedding models, vector DBs, retrieval quality"
Artificial Intelligence Engineer,Tata Consultancy Services,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-tata-consultancy-services-4451417400,2026-08-10T16:33:08.000Z,FULL_TIME,"AI Engineer

5-8"
AI / ML Engineer,Accenture in India,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4448355778,2026-08-03T18:14:52.000Z,FULL_TIME,"Project Role : AI / ML Engineer

Project Role Description : Develops applications and systems that utilize AI tools, Cloud AI services, with proper cloud or on-prem application pipeline with production ready quality. Be able to apply GenAI models as part of the solution. Could also include but not limited to deep learning, neural networks, chatbots, image processing.

Must have skills : Machine Learning (ML)

Good to have skills : NA

Minimum 3 Year(s) Of Experience Is Required

Educational Qualification : 15 years full time education

Summary:

As an AI / Machine Learning Engineer, a typical day involves designing and building advanced applications and systems that leverage artificial intelligence technologies. This role requires integrating cloud-based AI services or on-premises application pipelines to deliver solutions that are ready for production environments. The work often includes applying generative AI models and exploring various domains such as deep learning, neural networks, chatbots, and image processing. Collaboration with cross-functional teams to ensure seamless deployment and continuous improvement of AI-driven solutions is a key aspect of daily activities.

Roles & Responsibilities:

•  Expected to perform independently and become an SME.
•  Required active participation/contribution in team discussions.
•  Contribute in providing solutions to work related problems.
•  Collaborate with team members to enhance project outcomes and share knowledge.
•  Assist in troubleshooting and resolving technical challenges encountered during development.
•  Support junior team members by providing guidance and sharing best practices.

Professional & Technical Skills:

•  Must To Have Skills: Proficiency in Machine Learning (ML).
•  Experience with designing and implementing AI models including generative AI and deep learning techniques.
•  Strong understanding of neural networks and their applications in various AI domains.
•  Familiarity with cloud AI services and the ability to integrate them into scalable solutions.
•  Knowledge of building and maintaining production-ready application pipelines in cloud or on-premises environments.
•  Ability to work with AI technologies such as chatbots and image processing frameworks.

Additional Information:

•  The candidate should have minimum 3 years of experience in Machine Learning (ML).
•  This position is based at our HDC3B - SEZ location.
•  A 15 years full time education is required."
Generative AI Engineer,Tata Consultancy Services,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/generative-ai-engineer-at-tata-consultancy-services-4454257694,2026-08-17T11:00:53.000Z,FULL_TIME,"Gen AI engineer with atleast 7+ years experience and skills - AI ML , Vertex"
Data Platform Engineer,Accenture in India,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-platform-engineer-at-accenture-in-india-4448322554,2026-08-03T17:32:39.000Z,FULL_TIME,"Project Role : Data Platform Engineer

Project Role Description : Assists with the data platform blueprint and design, encompassing the relevant data platform components. Collaborates with the Integration Architects and Data Architects to ensure cohesive integration between systems and data models.

Must have skills : Python (Programming Language)

Good to have skills : NA

Minimum 3 Year(s) Of Experience Is Required

Educational Qualification : 15 years full time education

Summary: Seeking a forward-thinking professional with an AI-first mindset to design, develop, and deploy enterprise-grade solutions using Generative and Agentic AI frameworks that drive innovation, efficiency, and business transformation.

AI Powered Tech Talent

Roles & Responsibilities: Lead AI-driven solution design and delivery by applying GenAI and Agentic AI to address complex business challenges, automate processes, and integrate intelligent insights into enterprise workflows for measurable impact.

Professional & Technical Skills: Strong grasp of Generative and Agentic AI, prompt engineering, and AI evaluation frameworks. Ability to align AI capabilities with business objectives while ensuring scalability, responsible use, and tangible value realization."
ML Engineer,Gradera,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ml-engineer-at-gradera-4436450908,2026-07-03T01:58:14.000Z,FULL_TIME,"About Gradera

Gradera defines a new category of enterprise transformation called Software-Orchestrated Services™ - where software orchestrates human expertise, digital workers, and enterprise systems to deliver governed outcomes at scale. As an AI Native Services firm, we help enterprises redesign how work gets done across operations, product, engineering, customer experience, data, and enterprise workflows to move beyond fragmented AI pilots and disconnected automation toward measurable business outcomes.

Overview

As an AI/ML Engineer specializing in Generative AI and Agentic AI, you will design, develop, and deploy intelligent AI applications powered by Large Language Models (LLMs). You will build autonomous agents, multi-agent systems, Retrieval-Augmented Generation (RAG) pipelines, evaluation frameworks, and production-ready AI services for enterprise customers.

Our Core AI Stack

•  Python, FastAPI
•  GPT, Claude, Gemini, Llama, Qwen, Mistral
•  LangGraph, AutoGen, CrewAI, Semantic Kernel
•  LangChain, LlamaIndex, DSPy
•  MCP (Model Context Protocol)
•  Vector Databases: pgvector, Pinecone, Milvus, Chroma
•  Neo4j Knowledge Graphs & GraphRAG
•  MLflow, Hugging Face, LoRA/QLoRA
•  Azure AI Foundry, Azure OpenAI, AWS Bedrock, Vertex AI
•  Docker, Kubernetes, GitHub Actions, OpenTelemetry
•  Redis, Kafka, PostgreSQL

Key Responsibilities

•  Design and develop enterprise-grade GenAI applications.
•  Build autonomous AI agents and multi-agent workflows.
•  Develop RAG pipelines using vector databases and knowledge graphs.
•  Integrate AI agents with enterprise applications such as GitHub, Jira, ServiceNow, databases, and REST APIs.
•  Engineer prompts, memory, tools, and reasoning workflows for high-quality outcomes.
•  Evaluate and optimize AI systems for latency, cost, accuracy, and hallucination reduction.
•  Deploy scalable AI services using cloud-native technologies.
•  Build observability, tracing, and monitoring for AI applications.
•  Collaborate with product, platform, and engineering teams to deliver production-ready solutions.
•  Stay current with the rapidly evolving AI ecosystem and contribute best practices.

Core Qualifications

•  Bachelor's or Master's degree in Computer Science, AI, Machine Learning, or a related field.
•  3+ years of software engineering experience with Python.
•  Hands-on experience with Large Language Models and Generative AI.
•  Strong understanding of RAG, embeddings, vector search, and prompt engineering.
•  Experience building APIs using FastAPI or similar frameworks.
•  Familiarity with cloud platforms such as Azure, AWS, or GCP.
•  Strong software engineering fundamentals, testing, CI/CD, and Git.

Preferred Qualifications

•  Experience with Agentic AI and multi-agent architectures.
•  Experience with LangGraph, AutoGen, CrewAI, or Semantic Kernel.
•  Experience with Neo4j, GraphRAG, and knowledge graphs.
•  Experience with MLflow and Hugging Face.
•  Familiarity with Kubernetes, Docker, Redis, Kafka, and cloud-native deployments.
•  Experience with AI evaluation frameworks and observability.

Highly Desirable

•  Experience building enterprise AI copilots.
•  Experience with coding agents or software engineering automation.
•  Open-source contributions in AI/ML.
•  Strong communication and architectural design skills.
•  Passion for experimenting with emerging AI technologies."
AI Engineer,Teradata,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-engineer-at-teradata-4448218072,2026-08-03T16:56:18.000Z,FULL_TIME,"Our Company

At Teradata, we believe that people thrive when empowered with better information.  Teradata Autonomous Knowledge Platform activates enterprise intelligence by unifying data, knowledge and business context to achieve tangible outcomes.  With Teradata, organizations can provide agents with full context for impact when it matters.  Our solution lets businesses connect and scale on premises, in the cloud, or through a hybrid approach.  Teradata delivers real business value with AI.

What You’ll Do

As an AI Engineer, you will play a key role in designing and delivering highly scalable, next generation AI products within our AI stack.  You will work in a technically rich environment with talented peers, contributing to product planning, design, and execution while influencing the evolution of Teradata’s AI capabilities.

In this role, you will:

• Design, develop, and maintain high quality systems, services, and applications with an emphasis on scalability, reliability, and performance.
• Collaborate with cross-functional engineers and product partners to shape design and consistently deliver end to end features.
• Build and integrate robust RESTful APIs, ensuring security, data consistency, and maintainability.
• Work with SQL and NoSQL databases to implement efficient data models and service access patterns.
• Apply and experiment with AI/ML technologies, including agentic AI and large language models (LLMs).
• Use AI powered engineering tools to improve development quality, speed, and productivity.
• Mentor engineers, supporting them in technical planning, implementation, and best practices.
• Identify and resolve system performance bottlenecks, optimizing code, design, and infrastructure.
• Write unit and integration tests and participate in code reviews to uphold engineering excellence.
• Investigate production issues, ensuring timely and effective solutions.
• Stay current with emerging trends in engineering, AI/ML, and cloud-native technologies.

Who You’ll Work With

You will be part of a high-performing engineering team building core components of Teradata’s AI platform.  You will collaborate closely with other engineers, AI/ML specialists, product managers, cloud architects, and partner teams across the company.  The role offers opportunities to contribute directly to Teradata’s AI product roadmap and technological direction.

(Nonnegotiable Qualifications)

What Makes You a Qualified Candidate

• Bachelor’s degree in Computer Science or equivalent from a recognized institution.
• 2+ years of experience in backend services, distributed systems, or data platform development.
• Strong proficiency in Java, Go, or Python for service development.
• Good understanding of design principles, distributed system patterns and service framework.
• Hands-on experience designing and developing RESTful APIs.
• Experience with SQL and/or NoSQL databases and data modelling.
• Strong debugging, problem solving, and troubleshooting skills.
• Experience with modern containerization and orchestration tools such as Kubernetes.
• Knowledge of public cloud platforms.
• Experience with AI productivity tools (e. g. , GitHub Copilot).
• Ability to work independently, and deliver high quality outcomes.
• Strong communication and collaboration skills.

What You’ll Bring

(Preferred qualifications)

• Familiarity with messaging systems such as Kafka.
• Experience experimenting with or implementing AI/ML technologies, Agentic AI, or LLMs.
• Familiarity with engineering best practices.
• A proactive mindset and comfort working in fast paced, dynamic environments.
• Curiosity, adaptability, and a passion for building impactful AI-driven products.

Why We Think You’ll Love Teradata

We prioritize a people-first culture because we know our people are at the very heart of our success. We embrace a flexible work model because we trust our people to make decisions about how, when, and where they work. We focus on well-being because we care about our people and their ability to thrive both personally and professionally. We are an anti-racist company because our dedication to Diversity, Equity, and Inclusion is more than a statement. It is a deep commitment to doing the work to foster an equitable environment that celebrates people for all of who they are.

Teradata invites all identities and backgrounds in the workplace. We work with deliberation and intent to ensure we are cultivating collaboration and inclusivity across our global organization.  We are proud to be an equal opportunity and affirmative action employer. We do not discriminate based upon race, color, ancestry, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related conditions), national origin, sexual orientation, age, citizenship, marital status, disability, medical condition, genetic information, gender identity or expression, military and veteran status, or any other legally protected status."
AI Engineer,Teradata,"Telangana, Telangana, India",https://in.linkedin.com/jobs/view/ai-engineer-at-teradata-4447999660,2026-08-03T16:56:18.000Z,FULL_TIME,"Our Company

At Teradata, we believe that people thrive when empowered with better information.  Teradata Autonomous Knowledge Platform activates enterprise intelligence by unifying data, knowledge and business context to achieve tangible outcomes.  With Teradata, organizations can provide agents with full context for impact when it matters.  Our solution lets businesses connect and scale on premises, in the cloud, or through a hybrid approach.  Teradata delivers real business value with AI.

What You’ll Do

As an AI Engineer, you will play a key role in designing and delivering highly scalable, next generation AI products within our AI stack.  You will work in a technically rich environment with talented peers, contributing to product planning, design, and execution while influencing the evolution of Teradata’s AI capabilities.

In this role, you will:

• Design, develop, and maintain high quality systems, services, and applications with an emphasis on scalability, reliability, and performance.
• Collaborate with cross-functional engineers and product partners to shape design and consistently deliver end to end features.
• Build and integrate robust RESTful APIs, ensuring security, data consistency, and maintainability.
• Work with SQL and NoSQL databases to implement efficient data models and service access patterns.
• Apply and experiment with AI/ML technologies, including agentic AI and large language models (LLMs).
• Use AI powered engineering tools to improve development quality, speed, and productivity.
• Mentor engineers, supporting them in technical planning, implementation, and best practices.
• Identify and resolve system performance bottlenecks, optimizing code, design, and infrastructure.
• Write unit and integration tests and participate in code reviews to uphold engineering excellence.
• Investigate production issues, ensuring timely and effective solutions.
• Stay current with emerging trends in engineering, AI/ML, and cloud-native technologies.

Who You’ll Work With

You will be part of a high-performing engineering team building core components of Teradata’s AI platform.  You will collaborate closely with other engineers, AI/ML specialists, product managers, cloud architects, and partner teams across the company.  The role offers opportunities to contribute directly to Teradata’s AI product roadmap and technological direction.

(Nonnegotiable Qualifications)

What Makes You a Qualified Candidate

• Bachelor’s degree in Computer Science or equivalent from a recognized institution.
• 2+ years of experience in backend services, distributed systems, or data platform development.
• Strong proficiency in Java, Go, or Python for service development.
• Good understanding of design principles, distributed system patterns and service framework.
• Hands-on experience designing and developing RESTful APIs.
• Experience with SQL and/or NoSQL databases and data modelling.
• Strong debugging, problem solving, and troubleshooting skills.
• Experience with modern containerization and orchestration tools such as Kubernetes.
• Knowledge of public cloud platforms.
• Experience with AI productivity tools (e. g. , GitHub Copilot).
• Ability to work independently, and deliver high quality outcomes.
• Strong communication and collaboration skills.

What You’ll Bring

(Preferred qualifications)

• Familiarity with messaging systems such as Kafka.
• Experience experimenting with or implementing AI/ML technologies, Agentic AI, or LLMs.
• Familiarity with engineering best practices.
• A proactive mindset and comfort working in fast paced, dynamic environments.
• Curiosity, adaptability, and a passion for building impactful AI-driven products.

Why We Think You’ll Love Teradata

We prioritize a people-first culture because we know our people are at the very heart of our success. We embrace a flexible work model because we trust our people to make decisions about how, when, and where they work. We focus on well-being because we care about our people and their ability to thrive both personally and professionally. We are an anti-racist company because our dedication to Diversity, Equity, and Inclusion is more than a statement. It is a deep commitment to doing the work to foster an equitable environment that celebrates people for all of who they are.

Teradata invites all identities and backgrounds in the workplace. We work with deliberation and intent to ensure we are cultivating collaboration and inclusivity across our global organization.  We are proud to be an equal opportunity and affirmative action employer. We do not discriminate based upon race, color, ancestry, religion, creed, sex (including pregnancy, childbirth, breastfeeding, or related conditions), national origin, sexual orientation, age, citizenship, marital status, disability, medical condition, genetic information, gender identity or expression, military and veteran status, or any other legally protected status."
Artificial Intelligence Engineer,Agilisium Consulting,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/artificial-intelligence-engineer-at-agilisium-consulting-4455621873,2026-08-20T09:50:33.000Z,FULL_TIME,"Required Qualifications

We’re looking for someone with:

• 5+ years of experience in data architecture, with a focus on AI/ML-enabled systems.
• Hands-on experience with Generative AI models (e.g., OpenAI GPT, BERT, or similar), including fine-tuning and deployment.
• Proficiency in data engineering tools and frameworks, such as Apache Spark, Hadoop, and Kafka.
• Deep knowledge of database systems (SQL, NoSQL) and cloud platforms (AWS, Azure, GCP), including their AI/ML services (e.g., AWS Sagemaker, Azure ML, GCP Vertex AI).
• Strong understanding of data governance, MLOps, and AI model lifecycle management.
• Experience with programming languages such as Python or R and frameworks like TensorFlow or PyTorch.
• Excellent problem-solving and communication skills, with a demonstrated ability to lead cross-functional teams.
Preferred Skills

• Familiarity with LLM fine-tuning, prompt engineering, and embedding models.
• Strong domain expertise in Life Science Industry
• Experience integrating generative AI solutions into production-level applications.
• Knowledge of vector databases (e.g., Pinecone, Weaviate) for storing and retrieving embeddings.
• Expertise in APIs for AI models, such as OpenAI API or Hugging Face Transformers."
AI/GenAI Engineer| Immediate Joiner| Hyderabad| 4-7 Year Experience,Innova ESI,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/ai-genai-engineer-immediate-joiner-hyderabad-4-7-year-experience-at-innova-esi-4458190208,2026-08-24T10:29:42.000Z,FULL_TIME,"AI/GenAI Engineer | Hyderabad

We are looking for an experienced AI/GenAI Engineer to join our AI Core team and work on an exciting UC-003 Billing Prep program.

Location: Hyderabad

Experience: 4–7 Years

Employment Type: Full-time

Salary: Market Standard

Reporting To: Solution Architect / Tech Lead

Role Overview

The AI/GenAI Engineer will be responsible for designing, developing, and integrating AI & Generative AI capabilities for billing automation, including reimbursable cost matching, anomaly detection, and in-month billing monitoring using Google Vertex AI and Gemini.

The role involves building explainable, auditable AI solutions that reduce manual intervention and improve billing accuracy and efficiency.

Key Responsibilities

• Design and develop AI models for reimbursable/non-reimbursable cost classification and matching.
• Build anomaly detection solutions for billing exceptions, unusual charge spikes, and data-quality issues.
• Develop Gemini-powered copilots/AI agents to support billing analysts.
• Implement confidence scoring, explainability, and AI recommendation outputs.
• Manage the complete ML lifecycle using Vertex AI, including training, evaluation, deployment, versioning, and monitoring.
• Integrate Vertex AI and Gemini APIs with backend billing pipelines.
• Develop feedback loops using reviewer accept/reject decisions for continuous model improvement.
• Design effective prompt engineering, structured outputs, grounding, and function-calling strategies.
• Establish AI evaluation frameworks using Precision, Recall, and F1-score.
• Implement human-in-the-loop controls, auditability, model provenance, and responsible AI practices.
• Collaborate with Backend and Data Engineers on APIs, feature engineering, training datasets, and labelling workflows.

Mandatory Skills

4+ years of hands-on experience building and deploying AI/ML solutions in production

Strong Python skills

Experience with Google Vertex AI – Workbench, Model Registry, Pipelines, Prediction Endpoints

Hands-on experience with Gemini API / Vertex AI Generative AI

Strong understanding of Prompt Engineering, Grounding, Structured Output & Function Calling

Experience with PyTorch, TensorFlow, or Scikit-learn

Experience with FastAPI or Flask

Knowledge of GCP – BigQuery, Cloud Storage, Pub/Sub

Strong understanding of MLOps, model versioning, CI/CD, monitoring and experiment tracking

Experience with enterprise LLM integration, guardrails, human-in-the-loop workflows and auditability

Good to Have

• GCP Professional Machine Learning Engineer certification
• Vertex AI Agent Builder / LangChain on GCP
• Experience with financial, billing, AP, ERP, invoice matching or spend analytics
• Knowledge of SHAP, LIME and responsible AI
• Experience with Vector Databases, Vertex AI Matching Engine or AlloyDB pgvector
• Enterprise AI platform architecture experience
• Real estate, facilities management or professional services billing domain experience

Ideal Candidate

We are looking for someone who can combine strong AI/ML engineering expertise with GenAI capabilities, build production-ready solutions, and work closely with business SMEs to continuously improve model quality."
